headword,pos,CEFR
adversely,adverb,B2
adversity,noun,B2
advert,noun,B1
advertise,verb,B1
advertisement,noun,A2
advertising,noun,A2
advice,noun,A2
advise,verb,A2
adviser,noun,B1
advisor,noun,B1
aerobics,noun,B1
aeroplane,noun,A1
affair,noun,A2
affect,verb,B1
affection,noun,B1
affectionate,adjective,B2
affectionately,adverb,B2
afford,verb,B1
affordable,adjective,B2
afraid,adjective,A1
after,adverb,A2
after,conjunction,B1
after,preposition,A1
afternoon,noun,A1
afterward,adverb,B1
afterwards,adverb,B1
again,adverb,A1
against,preposition,A2
age,noun,A1
aged,adjective,A2
ageless,adjective,B2
agency,noun,A2
agenda,noun,B1
agent,noun,A2
aggressive,adjective,B1
aggressively,adverb,B2
ago,adverb,A1
agonise,verb,B2
agonize,verb,B2
agony,noun,B2
agree,verb,A1
agreement,noun,B1
agricultural,adjective,B1
agriculture,noun,B1
ahead,adverb,A2
aid,noun,B1
aid,verb,B1
aim,noun,B1
aim,verb,B2
air,noun,A2
air conditioning,noun,B1
air force,noun,B1
aircraft,noun,B2
aircrew,noun,B2
airline,noun,B1
airplane,noun,A1
airport,noun,A1
aisle,noun,A2
alarm,noun,A2
alarm,verb,B1
alarm clock,noun,A2
album,noun,A1
alcohol,noun,B1
alcoholic,adjective,B1
alcoholic,noun,B2
alcoholism,noun,B2
alert,verb,B2
alike,adjective,B1
alike,adverb,B1
alive,adjective,A2
all,adverb,A2
all,determiner,A1
all,pronoun,A1
all right,adjective,A1
all right,adverb,A1
allegation,noun,B2
allergic,adjective,B1
alliance,noun,B2
allow,verb,A2
allowance,noun,B1
ally,noun,B2
almost,adverb,A1
alone,adjective,A2
alone,adverb,A1
along,adverb,A1
along,preposition,A2
alongside,preposition,B2
aloud,adverb,B1
alphabet,noun,B1
alphabetical,adjective,B2
already,adverb,A1
alright,adjective,A2
alright,adverb,A2
also,adverb,A1
altar,noun,B2
alter,verb,B2
alternate,verb,B2
alternative,adjective,B1
alternative,noun,B1
alternatively,adverb,B2
although,conjunction,A2
altitude,noun,B2
altogether,adverb,B1
aluminium,noun,B2
aluminum,noun,B2
always,adverb,A1
am,adverb,A1
AM,adverb,A1
am,be-verb,A1
amaze,verb,B2
amazed,adjective,B1
amazement,noun,B2
amazing,adjective,B1
amazingly,adverb,B2
ambassador,noun,B2
ambiguity,noun,B2
ambiguous,adjective,B2
ambition,noun,A2
ambitious,adjective,B1
ambulance,noun,B1
ammonia,noun,B2
among,preposition,A2
amongst,preposition,B2
amount,noun,B1
ample,adjective,B2
amplifier,noun,B2
amplify,verb,B2
amuse,verb,B2
amused,adjective,A2
amusement,noun,A2
amusing,adjective,B1
an,determiner,A1
analogy,noun,B2
analyse,verb,B1
analysis,noun,B1
analyst,noun,B2
analyze,verb,B1
ancestor,noun,A2
anchor,noun,B2
anchorage,noun,B2
anchorman,noun,B2
anchorperson,noun,B2
ancient,adjective,A2
and,conjunction,A1
angel,noun,A2
anger,noun,B1
angle,noun,B1
angrily,adverb,A2
angry,adjective,A1
anguish,noun,B2
animal,noun,A1
animate,verb,B2
animated,adjective,B1
animation,noun,B1
ankle,noun,A2
anniversary,noun,A2
announce,verb,B1
announcement,noun,B1
annoy,verb,A2
annoyance,noun,B1
annoyed,adjective,B1
annoying,adjective,A2
annual,adjective,B1
annually,adverb,B1
anonymous,adjective,B2
another,determiner,A1
another,pronoun,A2
answer,noun,A1
answer,verb,A1
ant,noun,B1
anti,adjective,B1
antiaircraft,adjective,B2
antibacterial,adjective,B2
anticancer,noun,B2
anticipate,verb,B2
anticipation,noun,B2
antipollution,noun,B2
antique,adjective,B2
antique,noun,B1
antistatic,adjective,B2
antivirus,noun,B2
antonym,noun,B1
anxiety,noun,B1
anxious,adjective,A2
anxiously,adverb,B1
any,determiner,A1
any,pronoun,A1
anybody,pronoun,A1
anyhow,adverb,B1
anymore,adverb,A2
anyone,pronoun,A1
anything,pronoun,A1
anyway,adverb,A2
anywhere,adverb,A2
apart,adverb,A2
apartment,noun,A2
ape,noun,B1
apologise,verb,A2
apologize,verb,A2
apology,noun,B1
apostrophe,noun,B2
apparent,adjective,B1
apparently,adverb,A2
appeal,noun,B1
appeal,verb,B2
appear,verb,A2
appearance,noun,A2
appetite,noun,B1
applaud,verb,B1
applause,noun,B1
apple,noun,A1
applicant,noun,B2
application,noun,B1
apply,verb,A2
appoint,verb,B1
appointment,noun,A2
appreciate,verb,A2
appreciation,noun,B1
appreciative,adjective,B2
approach,noun,B1
approach,verb,B2
appropriate,adjective,A2
appropriately,adverb,B2
approval,noun,B1
approve,verb,B1
approximate,adjective,B2
approximately,adverb,B1
April,noun,A1
apron,noun,A1
arch,noun,B2
archaeologist,noun,B2
archeologist,noun,B2
architect,noun,B1
architecture,noun,A2
arctic,adjective,B2
are,be-verb,A1
area,noun,A2
arena,noun,B2
argue,verb,A2
argument,noun,A2
arise,verb,B1
aristocracy,noun,B2
arithmetic,noun,B1
arm,noun,A1
arm,verb,B1
armchair,noun,A2
armed,adjective,A2
armful,noun,B2
army,noun,B1
around,adverb,A2
around,preposition,A1
arouse,verb,B2
arrange,verb,B1
arrangement,noun,B1
arrest,noun,B1
arrest,verb,B1
arrival,noun,B1
arrive,verb,A1
arrogant,adjective,B2
arrow,noun,B1
art,noun,A1
artery,noun,B2
article,noun,A1
articulate,verb,B2
artificial,adjective,A2
artificially,adverb,B2
artist,noun,B1
artistic,adjective,B1
artistry,noun,B2
as,conjunction,A2
as,preposition,A1
ash,noun,B2
ashamed,adjective,B1
aside,adverb,B1
ask,verb,A1
asleep,adjective,A2
aspect,noun,B1
aspiration,noun,B2
aspire,verb,B2
aspirin,noun,B1
assault,noun,B2
assemble,verb,B2
assembly,noun,B2
assert,verb,B2
assess,verb,B2
assessment,noun,B2
assign,verb,B1
assignment,noun,B1
assist,verb,B1
assistance,noun,B1
assistant,adjective,A2
assistant,noun,B1
associate,verb,B1
association,noun,A2
assume,verb,B1
assumption,noun,B2
assurance,noun,B2
assure,verb,B2
astonish,verb,B2
astonished,adjective,B2
astonishing,adjective,B2
astonishment,noun,B2
astronaut,noun,A2
astronomer,noun,B1
astronomy,noun,B2
at,preposition,A1
athlete,noun,A2
athletic,adjective,B1
athletics,noun,B2
Atlantic,adjective,B1
atmosphere,noun,B1
atom,noun,A2
atomic,adjective,B1
attach,verb,B1
attached,adjective,B2
attachment,noun,B1
attack,noun,A2
attack,verb,A2
attain,verb,B1
attainable,adjective,B2
attainment,noun,B2
attempt,noun,A2
attempt,verb,B1
attend,verb,B1
attendance,noun,B2
attention,noun,A2
attentive,adjective,B2
attentively,adverb,B2
attitude,noun,A2
attract,verb,B1
attraction,noun,B1
attractive,adjective,A2
attractiveness,noun,B2
attribute,noun,B2
attribute,verb,B2
atypical,adjective,B2
aubergine,noun,B2
audience,noun,A2
audio,adjective,A2
audit,noun,B2
audition,noun,B2
August,noun,A1
aunt,noun,A1
author,noun,A2
authorise,verb,B2
authoritative,adjective,B2
authority,noun,B1
authorize,verb,B2
automatic,adjective,A2
automatically,adverb,A2
autumn,noun,A1
auxiliary,adjective,B1
availability,noun,B2
available,adjective,B1
avenue,noun,B1
average,adjective,A2
average,noun,A2
avoid,verb,A2
await,verb,B2
awake,adjective,A1
award,noun,A2
award,verb,B1
aware,adjective,B1
awareness,noun,B1
away,adverb,A1
awe,noun,B2
awesome,adjective,B1
awful,adjective,A2
awkward,adjective,B1
ax,noun,B2
axe,noun,B2
axis,noun,B2
baby,noun,A1
babysit,verb,B1
babysitter,noun,B1
back,adjective,A2
back,adverb,A1
back,noun,A1
back,verb,B1
backache,noun,B1
background,noun,A2
backpack,noun,B1
backpacker,noun,B1
backpacking,noun,B1
backup,noun,B2
backward,adverb,B2
backwards,adverb,B2
backyard,noun,B2
bacon,noun,B1
bad,adjective,A1
badge,noun,B2
badly,adverb,A2
badminton,noun,A2
bad-tempered,adjective,B2
bag,noun,A1
baggage,noun,B1
bake,verb,A2
baker,noun,B1
bakery,noun,B1
balance,noun,B1
balance,verb,B2
balanced,adjective,B2
balcony,noun,A2
bald,adjective,B1
balky,adjective,B2
ball,noun,A1
ballad,noun,B2
ballet,noun,B2
balloon,noun,A2
ballot,noun,B2
ban,noun,B2
ban,verb,B2
banana,noun,A1
band,noun,A1
bandage,noun,B1
bang,noun,B1
bang,verb,B1
bank,noun,A1
bank,verb,A2
bank account,noun,B1
banker,noun,B2
banking,noun,A2
bankrupt,verb,B2
bankruptcy,noun,B2
bar,noun,A1
bar,verb,B1
barbecue,noun,A2
barbecue,verb,B1
barber,noun,A2
barbershop,noun,B2
bare,adjective,B1
bare,verb,B2
barely,adverb,B1
bargain,noun,A2
bargain,verb,B2
bark,noun,B1
bark,verb,B2
barley,noun,B2
barman,noun,B1
barn,noun,B2
barometer,noun,B2
barrel,noun,B1
barren,adjective,B2
barrier,noun,B2
bartender,noun,B2
base,noun,A2
base,verb,B1
baseball,noun,A1
basement,noun,B1
basic,adjective,A2
basically,adverb,A2
basin,noun,B1
basis,noun,B1
basket,noun,A2
basketball,noun,A1
bat,noun,A1
bat,verb,B1
batch,noun,A2
bath,noun,A1
bathe,verb,B1
bathhouse,noun,B2
bathroom,noun,A1
battery,noun,A2
battle,noun,B1
battlefield,noun,B2
bay,noun,A2
be,be-verb,A1
beach,noun,A1
beagle,noun,B2
beak,noun,B2
beam,noun,B2
bean,noun,A1
bear,noun,A1
bear,verb,A2
beard,noun,B1
bearing,noun,B2
beast,noun,B1
beat,noun,B2
beat,verb,B1
beautiful,adjective,A1
beautifully,adverb,B1
beautify,verb,B2
beauty,noun,A2
beaver,noun,B1
because,conjunction,A1
because of,preposition,B1
become,verb,A1
bed,noun,A1
bedroom,noun,A1
bedside,noun,B1
bee,noun,A1
beef,noun,A1
been,be-verb,A2
beer,noun,A2
before,adverb,A1
before,conjunction,A2
before,preposition,A1
beg,verb,A2
begin,verb,A1
beginner,noun,A2
beginning,noun,A2
behalf,noun,B1
behave,verb,B1
behavior,noun,A2
behaviour,noun,A2
behind,adverb,A1
behind,preposition,A1
being,be-verb,A1
being,noun,A2
belief,noun,B1
believe,verb,A1
bell,noun,A1
bellow,verb,B2
belly,noun,A2
belong,verb,A2
belongings,noun,B2
beloved,adjective,B1
below,adverb,A1
below,preposition,A1
belt,noun,A2
bench,noun,A2
bend,noun,B2
bend,verb,A2
beneath,preposition,B1
beneficial,adjective,B2
benefit,noun,B1
benefit,verb,B2
benevolence,noun,B2
benevolent,adjective,B2
bent,adjective,B1
berry,noun,B2
beside,preposition,A1
besides,adverb,A2
besides,preposition,B1
best,adjective,A1
best,adverb,A1
bestow,verb,B2
bestseller,noun,B2
bet,verb,B1
betray,verb,B2
better,adjective,A1
better,adverb,A2
between,preposition,A1
bewilder,verb,B2
bewilderment,noun,B2
beyond,preposition,A2
bicycle,noun,A1
bid,verb,B2
bidding,noun,B2
big,adjective,A1
bike,noun,A1
bikini,noun,B2
bilingual,adjective,B1
bill,noun,A2
bill,verb,B1
billion,noun,B2
bin,noun,B1
bind,verb,B2
bio,noun,B2
biochemistry,noun,B1
biography,noun,B1
biological,adjective,B2
biology,noun,B1
biotechnology,noun,B2
bird,noun,A1
birdcage,noun,B2
birth,noun,A1
birthday,noun,A1
birthplace,noun,B2
biscuit,noun,A1
bishop,noun,B1
bit,noun,A2
bite,noun,A2
bite,verb,B1
bitter,adjective,B1
bitterly,adverb,B2
bizarre,adjective,B2
black,adjective,A1
black,noun,A1
blackboard,noun,A2
blade,noun,B2
blame,noun,B1
blame,verb,A2
blank,adjective,A1
blanket,noun,A2
blast,noun,B2
blast,verb,B2
blaze,noun,B2
blaze,verb,B2
bleed,verb,B1
blend,noun,B2
blend,verb,B1
bless,verb,B1
blessing,noun,B1
blind,adjective,B1
blindly,adverb,B2
blindness,noun,B2
blink,verb,B2
block,noun,A1
block,verb,B1
blog,noun,B1
blogger,noun,B1
blonde,adjective,A2
blood,noun,A2
bloodstream,noun,B2
bloody,adjective,B2
bloody,adverb,B2
bloom,noun,A2
blooming,adjective,B2
blossom,noun,B2
blow,noun,A2
blow,verb,A1
blue,adjective,A1
blue,noun,A1
blur,verb,B2
blurt,noun,B2
blush,noun,B1
blush,verb,B2
board,noun,A1
board,verb,B1
board game,noun,A2
boast,verb,B1
boat,noun,A1
body,noun,A1
boil,verb,A2
boiled,adjective,A2
boiling,adjective,B2
bold,adjective,B1
bold,noun,B2
boldly,adverb,B1
bolt,noun,B2
bolt,verb,B2
bomb,noun,B1
bomb,verb,B1
bombard,noun,B2
bomber,noun,B2
bombing,noun,B2
bond,noun,B1
bone,noun,A1
bonus,noun,A2
bony,adjective,B2
book,noun,A1
book,verb,B1
bookcase,noun,A2
booking,noun,B1
bookish,adjective,B2
booklet,noun,B2
bookmark,noun,B2
bookmark,verb,B2
bookshelf,noun,A2
bookshop,noun,A2
bookstore,noun,A1
boom,noun,B1
boost,noun,B2
boost,verb,B2
boot,noun,B1
booth,noun,B2
border,noun,B1
bore,verb,B1
bored,adjective,A2
boredom,noun,B1
boring,adjective,A1
borrow,verb,A1
boss,noun,A2
bossy,adjective,B2
botany,noun,B2
both,adverb,A1
both,determiner,A1
both,pronoun,A1
bother,noun,B1
bother,verb,A2
bothered,adjective,B2
bothersome,adjective,B2
bottle,noun,A1
bottle,verb,B2
bottom,noun,A1
bounce,noun,B2
bounce,verb,B1
bound,adjective,B1
bourbon,noun,B2
bow,noun,B1
bow,verb,B2
bowl,noun,A1
bowl,verb,B1
box,noun,A1
boxer,noun,B2
boxing,noun,B1
boy,noun,A1
boyfriend,noun,A1
bra,noun,A2
bracelet,noun,B1
bracket,noun,B2
brag,noun,B2
brain,noun,A1
brainstorm,noun,A2
brainstorming,noun,B1
brake,noun,A2
brake,verb,B2
branch,noun,A2
branch,verb,B1
brand,noun,A2
brand-new,adjective,B1
brass,noun,B1
brave,adjective,A2
bravely,adverb,B1
bravery,noun,B2
bread,noun,A1
break,noun,A2
break,verb,A1
breakable,adjective,B2
breakdown,noun,B2
breakfast,noun,A1
breakthrough,noun,B1
breakup,noun,B2
breast,noun,B1
breath,noun,B1
breathe,verb,A1
breathless,adjective,B1
breathtaking,adjective,B2
breed,noun,B2
breed,verb,B1
breeding,noun,B1
breeze,noun,A2
breezy,adjective,B2
brewery,noun,B2
brick,noun,B1
bride,noun,A2
bridge,noun,A1
brief,adjective,B1
briefly,adverb,B1
bright,adjective,A1
brightly,adverb,B1
brilliant,adjective,A2
brilliantly,adverb,B2
bring,verb,A1
broad,adjective,B1
broadband,noun,B2
broadcast,noun,B1
broadcast,verb,B2
broadcaster,noun,B2
broaden,verb,B2
broadly,adverb,B2
broccoli,noun,B1
brochure,noun,B2
broken,adjective,A1
bronze,noun,B1
brother,noun,A1
brotherhood,noun,B1
brother-in-law,noun,B2
brown,adjective,A1
brown,noun,A2
browse,verb,B2
browser,noun,B2
bruise,noun,B2
brush,noun,A1
brush,verb,A1
bubble,noun,B1
bucket,noun,A1
bud,noun,B2
buddy,noun,B1
budget,adjective,B2
budget,noun,A2
bug,noun,A2
build,verb,A1
builder,noun,B1
building,noun,A1
bulb,noun,A2
bulimia,noun,B2
bull,noun,B1
bullet,noun,B1
bulletin,noun,B1
bully,verb,B2
bum,noun,B2
bump,verb,B1
bumper,noun,B2
bun,noun,B2
bunch,noun,B1
burden,noun,B1
burden,verb,B2
burdensome,adjective,B2
bureau,noun,B1
bureaucracy,noun,B2
burger,noun,A1
burglar,noun,B1
burglary,noun,B2
burgle,verb,B2
burial,noun,B2
burn,noun,A2
burn,verb,B1
burning,adjective,B1
burst,verb,B1
bury,verb,A2
bus,noun,A1
bus station,noun,A2
bus stop,noun,A2
bush,noun,A2
business,noun,A1
businessman,noun,A2
businesswoman,noun,A2
bust,verb,B1
bustle,verb,B2
bustling,adjective,B2
busy,adjective,A1
but,conjunction,A1
but,preposition,B1
butcher,noun,B1
butcher,verb,B2
butter,noun,A1
butterfly,noun,A1
button,noun,A1
buy,verb,A1
buyer,noun,B1
buzz,noun,B2
buzz,verb,B2
by,preposition,A1
bye,noun,A1
cab,noun,A2
cabbage,noun,B1
cabin,noun,B1
cabinet,noun,B2
cable,noun,B2
cafe,noun,A1
café,noun,A1
cafeteria,noun,A2
cage,noun,B1
cake,noun,A1
calculate,verb,B1
calculation,noun,B1
calculator,noun,B1
calendar,noun,A2
calf,noun,B1
call,noun,A1
call,verb,A2
caller,noun,B1
calm,adjective,B1
calmly,adverb,B2
calmness,noun,B1
camel,noun,B1
camera,noun,A1
camp,noun,A1
camp,verb,A2
campaign,noun,B2
camping,noun,A2
campsite,noun,B1
campus,noun,A2
can,modal auxiliary,A1
can,noun,A2
canal,noun,B1
cancel,verb,B1
cancer,noun,B1
candidate,noun,B2
candle,noun,B1
candy,noun,A1
cane,noun,B2
canned,adjective,B1
cannonball,noun,B2
canon,noun,B2
canteen,noun,B1
cap,noun,A1
capability,noun,B2
capable,adjective,B1
capacity,noun,B1
capital,noun,A2
capital letter,noun,A2
capsule,noun,B1
captain,noun,A2
caption,noun,B2
captive,noun,B2
capture,noun,B1
capture,verb,B1
car,noun,A1
car park,noun,A2
caravan,noun,B2
carbon,noun,B2
carbon dioxide,noun,B2
carbon footprint,noun,B2
carbon monoxide,noun,B2
card,noun,A1
cardboard,noun,B2
cardigan,noun,B2
care,noun,A1
care,verb,B1
career,noun,B1
carefree,adjective,B2
careful,adjective,A1
carefully,adverb,A1
careless,adjective,B1
carelessly,adverb,B1
carelessness,noun,B1
caring,adjective,B2
carnival,noun,B2
carpet,noun,B1
carpool,noun,B2
carriage,noun,B1
carrot,noun,A2
carry,verb,A1
carton,noun,B1
cartoon,noun,A1
carve,verb,B2
cascade,noun,B2
case,noun,A1
cash,noun,A2
cashpoint,noun,B1
cassette,noun,A2
cast,noun,B2
cast,verb,B2
castle,noun,A2
casual,adjective,B1
casually,adverb,B2
cat,noun,A1
catalog,noun,B2
catalogue,noun,B2
catalyst,noun,B2
catastrophe,noun,B2
catastrophic,adjective,B2
catch,noun,A1
catch,verb,A1
catchy,adjective,B2
categorisation,noun,B2
categorise,verb,B1
categorization,noun,B2
categorize,verb,B1
category,noun,B1
catering,noun,B2
cathedral,noun,B2
cattle,noun,B1
cause,noun,B2
cause,verb,A2
caution,noun,B1
cautious,adjective,B1
cave,noun,B1
CD,noun,A1
CD player,noun,A1
CD-ROM,noun,B1
cease,verb,B2
ceiling,noun,B2
celebrate,verb,A1
celebration,noun,A1
celebrity,noun,B1
cell,noun,B1
cellar,noun,B2
cellist,noun,B2
cello,noun,B2
cemetery,noun,B2
cent,noun,A2
center,noun,A2
centigrade,noun,B2
centimeter,noun,A2
centimetre,noun,A2
central,adjective,B1
central heating,noun,B1
centre,noun,A2
century,noun,A2
cereal,noun,A2
ceremony,noun,B1
certain,adjective,A2
certainly,adverb,A2
certainty,noun,B1
certificate,noun,B2
certification,noun,B2
certify,verb,B2
chain,noun,A2
chair,noun,A1
chairman,noun,A2
challenge,noun,A2
challenge,verb,B2
challenging,adjective,B1
champagne,noun,A2
champion,noun,B1
championship,noun,A2
chance,noun,A2
chancellor,noun,B2
change,noun,A1
change,verb,A1
channel,noun,B1
chaos,noun,B1
chaotic,adjective,B2
chapter,noun,A2
character,noun,A1
characterise,verb,B1
characteristic,adjective,B2
characteristic,noun,B1
characterize,verb,B1
charge,noun,B1
charge,verb,B1
chariot,noun,B1
charity,noun,B1
charm,noun,B1
charming,adjective,B2
chart,noun,A2
chase,noun,B1
chase,verb,B2
chat,noun,B1
chat,verb,A2
chat show,noun,B1
cheap,adjective,A2
cheat,verb,B2
check,noun,A1
check,verb,A2
check-in,noun,B1
check-in counter,noun,B1
check-in desk,noun,B1
checkout,noun,B1
checkpoint,noun,B2
cheek,noun,A2
cheeky,adjective,B2
cheer,verb,A2
cheerful,adjective,B1
cheerfully,adverb,B2
cheerfulness,noun,B2
cheese,noun,A1
chef,noun,A2
chemical,adjective,A2
chemical,noun,B1
chemist,noun,B1
chemistry,noun,B1
chemotherapy,noun,B2
cheque,noun,A2
cherish,verb,B1
cherished,adjective,B2
cherry,noun,B2
chess,noun,A2
chest,noun,A2
chest of drawers,noun,B1
chew,verb,B2
chewing gum,noun,B1
chicken,noun,A1
chief,adjective,B1
chief,noun,B2
child,noun,A1
childhood,noun,A2
childish,adjective,B2
chili,noun,A2
chilli,noun,A2
chimney,noun,B2
chimpanzee,noun,A2
chin,noun,A2
chip,noun,B2
chirp,noun,A2
chocolate,noun,A1
choice,noun,A2
choir,noun,B1
choke,verb,B1
choose,verb,A1
chop,verb,B2
Christian,adjective,B1
chronological,adjective,B1
chuckle,noun,B1
chunk,noun,B2
church,noun,A1
cigarette,noun,A2
cinema,noun,A1
circle,noun,A1
circle,verb,B1
circuit,noun,B2
circuitry,noun,B2
circular,adjective,B1
circumstance,noun,B2
circus,noun,B1
citizen,noun,A2
citizenship,noun,B1
city,noun,A1
citywide,adjective,B2
civil,adjective,B1
civilisation,noun,B1
civilization,noun,B1
claim,noun,B1
claim,verb,A2
clam,noun,B2
clap,verb,B2
clarify,verb,B2
class,noun,A1
classic,adjective,A2
classic,noun,B2
classical,adjective,B1
classical music,noun,A2
classification,noun,B2
classify,verb,B1
classmate,noun,A1
classroom,noun,A1
clause,noun,B2
clean,adjective,A1
clean,verb,A1
cleaner,noun,A2
clear,adjective,A2
clear,verb,B1
clearly,adverb,A2
clearness,noun,B2
clerical,adjective,B2
clerk,noun,A2
clever,adjective,A1
click,noun,B1
click,verb,A2
client,noun,B2
cliff,noun,B1
climate,noun,B1
climate change,noun,B2
climb,noun,A1
climb,verb,A2
climber,noun,B1
climbing,noun,A2
clinic,noun,B1
clip,noun,B1
clock,noun,A1
clog,verb,B2
clone,verb,A2
close,adjective,A1
close,verb,A1
closed,adjective,A1
closely,adverb,B1
closure,noun,B2
cloth,noun,A1
clothes,noun,A1
clothing,noun,B2
cloud,noun,A1
cloudy,adjective,A1
clown,noun,A2
club,noun,A1
clue,noun,A2
clumsy,adjective,B2
coach,noun,A1
coach,verb,B2
coaching,noun,B2
coal,noun,B1
coalition,noun,B2
coarse,adjective,B2
coast,noun,A2
coast,verb,B1
coastal,adjective,B1
coastline,noun,B2
coat,noun,A1
cocktail,noun,B2
cocoa,noun,B2
coconut,noun,B2
cod,noun,B1
code,noun,A1
coffee,noun,A1
coffin,noun,B1
coherence,noun,B2
coherent,adjective,B2
coin,noun,A2
coincide,verb,B2
coincidence,noun,B2
coke,noun,A1
cola,noun,A2
cold,adjective,A1
cold,noun,A1
collapse,noun,B1
collapse,verb,B2
collar,noun,B1
colleague,noun,B2
collect,verb,A1
collection,noun,A1
collector,noun,B2
college,noun,A1
collocation,noun,B2
colon,noun,B2
colonial,adjective,B2
color,noun,A1
color,verb,A1
colorful,adjective,A2
colour,noun,A1
colour,verb,A1
colourful,adjective,A2
column,noun,A2
columnist,noun,B1
coma,noun,B2
comb,noun,A2
comb,verb,B2
combination,noun,B1
combine,verb,B1
come,verb,A1
comedian,noun,B1
comedy,noun,B1
comet,noun,B1
comfort,noun,B1
comfortable,adjective,A2
comfortably,adverb,B2
comic,adjective,A2
comic,noun,A2
comma,noun,B1
command,noun,B1
commander,noun,B2
commemorate,verb,B2
comment,noun,B1
comment,verb,B2
commerce,noun,B2
commercial,adjective,B1
commercial,noun,B2
commission,noun,B2
commit,verb,B1
commitment,noun,A2
committee,noun,A2
common,adjective,A2
common sense,noun,B1
commonly,adverb,B1
commonwealth,noun,B2
communicate,verb,A2
communication,noun,A2
communicative,adjective,B2
community,noun,B2
commute,verb,B2
companion,noun,B1
company,noun,A2
comparative,noun,A2
compare,verb,A2
comparison,noun,B1
compassion,noun,B2
compassionate,adjective,B2
compatible,adjective,B2
compensate,verb,B2
compensation,noun,B2
compete,verb,B1
competence,noun,B2
competent,adjective,B2
competition,noun,A2
competitive,adjective,B1
competitor,noun,B1
compile,verb,B2
complain,verb,A2
complaint,noun,A2
complement,noun,B1
complete,adjective,A2
complete,verb,B1
completely,adverb,B1
completion,noun,B2
complex,adjective,B1
complexion,noun,B2
complexity,noun,B2
complicate,verb,B1
complicated,adjective,B1
compliment,noun,B1
component,noun,B2
compose,verb,B1
composer,noun,A2
composition,noun,B1
compound,noun,B1
comprehension,noun,B2
comprehensive,adjective,B2
compress,noun,B2
compression,noun,B2
compromise,noun,B1
compromise,verb,B2
compulsory,adjective,B2
compute,verb,B2
computer,noun,A1
conceal,verb,B2
concede,verb,B2
conceit,noun,B2
conceivable,adjective,B2
conceive,verb,B2
concentrate,verb,A2
concentration,noun,B1
concept,noun,B1
conception,noun,B2
concern,noun,A2
concern,verb,B2
concerned,adjective,B1
concerning,preposition,B2
concert,noun,A1
concession,noun,B2
conclude,verb,B1
conclusion,noun,B1
concrete,adjective,B2
concrete,noun,B2
condemn,verb,B2
condition,noun,A2
conduct,noun,B1
conduct,verb,B2
conductor,noun,B2
cone,noun,B2
conference,noun,B2
conferencing,noun,B2
confess,verb,B2
confession,noun,B2
confidence,noun,B1
confident,adjective,A2
confidently,adverb,B2
confine,verb,B2
confirm,verb,B1
confirmation,noun,B1
